ID produktu;Kategoria;Podkategoria;Nazwa produktu;Cena zakupu;ID Dostawcy;Rozmiar opakowania;Minimum do zamówienia
OFF-EN-10002500;Wsparcie biura;Koperty;Globe Weis Peel & Seel First Class Envelopes;18,53;PEN-28;22;176
TEC-PH-10003875;Technologiczne;Telefony;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;12,54;DOD-20;1;4
FUR-CH-10004063;Meble;Krzesła;Global Deluxe High-Back Manager's Chair;197,33;EXW-09;1;6
FUR-TA-10004534;Meble;Tabel;Bevis 44 x 96 Conference Tables;35;AVF-02;1;3
OFF-BI-10003274;Wsparcie biura;Segregatory;Avery Durable Slant Ring Binders, No Labels;0,28;TYP-30;20;180
OFF-ST-10002974;Wsparcie biura;Składowanie;Trav-L-File Heavy-Duty Shuttle II, Black;39,21;LEC-23;1;7
FUR-FU-10003773;Meble;Meble;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;88,27;CRO-07;1;2
TEC-PH-10002293;Technologiczne;Telefony;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;9,6;AKO-14;3;6
OFF-PA-10002377;Wsparcie biura;Papier;Xerox 1916;53,83;TYP-30;4;8
OFF-FA-10002780;Wsparcie biura;Łączniki;Staples;3,16;MED-24;7;49
OFF-PA-10001804;Wsparcie biura;Papier;Xerox 195;9,89;COL-25;2;6
OFF-PA-10001736;Wsparcie biura;Papier;Xerox 1880;52,1;PLA-26;2;6
OFF-AR-10001149;Wsparcie biura;Artykuły;Sanford Colorific Colored Pencils, 12/Box;3,75;PIE-22;25;250
OFF-FA-10002988;Wsparcie biura;Łączniki;Ideal Clamps;3;HAR-21;9;45
OFF-BI-10004781;Wsparcie biura;Segregatory;GBC Wire Binding Strips;34,28;SCR-27;14;84
OFF-SU-10001218;Wsparcie biura;Wsparcie;Fiskars Softgrip Scissors;14,06;LEC-23;9;72
OFF-AR-10000940;Wsparcie biura;Artykuły;Newell 343;3,73;HAR-21;6;48
OFF-EN-10004030;Wsparcie biura;Koperty;Convenience Packs of Business Envelopes;5,32;PEN-28;25;125
OFF-PA-10004327;Wsparcie biura;Papier;Xerox 1911;70,89;PIE-22;2;4
OFF-AP-10001058;Wsparcie biura;Urządzenia;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;352,56;COL-25;1;9
FUR-FU-10000521;Meble;Meble;"Seth Thomas 14"" Putty-Colored Wall Clock";26,7;AMP-04;1;5
TEC-PH-10000215;Technologiczne;Telefony;Plantronics Cordless Phone Headset with In-line Volume - M214C;44,39;NAN-19;1;5
TEC-PH-10001448;Technologiczne;Telefony;Anker Astro 15000mAh USB Portable Charger;51,99;REN-17;3;6
OFF-BI-10002735;Wsparcie biura;Segregatory;GBC Prestige Therm-A-Bind Covers;50,44;LEC-23;19;171
OFF-AP-10000326;Wsparcie biura;Urządzenia;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;35,14;COL-29;1;9
TEC-PH-10001254;Technologiczne;Telefony;Jabra BIZ 2300 Duo QD Duo Corded Headset;109,21;WTF-11;3;6
OFF-PA-10001950;Wsparcie biura;Papier;Southworth 25% Cotton Antique Laid Paper & Envelopes;12,09;COL-25;3;6
OFF-PA-10002254;Wsparcie biura;Papier;Xerox 1883;38,52;PEN-28;3;6
OFF-ST-10001590;Wsparcie biura;Składowanie;Tenex Personal Project File with Scoop Front Design, Black;16,99;PEN-28;7;28
OFF-AR-10001547;Wsparcie biura;Artykuły;Newell 311;2,81;COL-29;20;120
OFF-LA-10002475;Wsparcie biura;Etykiety;Avery 519;10,75;SCR-27;9;81
TEC-PH-10004536;Technologiczne;Telefony;Avaya 5420 Digital phone;168,74;X-H-15;2;8
OFF-PA-10002751;Wsparcie biura;Papier;Xerox 1920;8,67;COL-29;2;6
TEC-AC-10003657;Technologiczne;Akcesoria;Lenovo 17-Key USB Numeric Keypad;27,87;REN-17;13;130
OFF-EN-10001990;Wsparcie biura;Koperty;Staple envelope;8,35;COL-29;18;90
OFF-BI-10004002;Wsparcie biura;Segregatory;Wilson Jones International Size A4 Ring Binders;18,69;PEN-28;19;133
OFF-AR-10004441;Wsparcie biura;Artykuły;BIC Brite Liner Highlighters;4,22;SCR-27;17;170
TEC-MA-10000822;Technologiczne;Maszyny;Lexmark MX611dhe Monochrome Laser Printer;850;X-H-15;2;6
OFF-ST-10000991;Wsparcie biura;Składowanie;Space Solutions HD Industrial Steel Shelving.;72,43;COL-29;1;3
FUR-CH-10004287;Meble;Krzesła;SAFCO Arco Folding Chair;190,58;BES-08;1;5
OFF-AR-10002656;Wsparcie biura;Artykuły;Sanford Liquid Accent Highlighters;6,48;COL-25;24;192
OFF-AP-10002518;Wsparcie biura;Urządzenia;Kensington 7 Outlet MasterPiece Power Center;-55,17;HAR-21;7;63
TEC-PH-10003931;Technologiczne;Telefony;JBL Micro Wireless Portable Bluetooth Speaker;50,99;PC--16;2;4
OFF-PA-10000659;Wsparcie biura;Papier;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;10,26;HAR-21;4;12
OFF-PA-10001144;Wsparcie biura;Papier;Xerox 1913;82,11;COL-25;3;12
FUR-CH-10003817;Meble;Krzesła;Global Value Steno Chair, Gray;51,63;AMP-04;1;8
OFF-AP-10000891;Wsparcie biura;Urządzenia;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;-39,34;SCR-27;6;30
OFF-LA-10003148;Wsparcie biura;Etykiety;Avery 51;6,68;PLA-26;17;170
OFF-AP-10002684;Wsparcie biura;Urządzenia;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;-36,48;PIE-22;6;54
FUR-CH-10004698;Meble;Krzesła;Padded Folding Chairs, Black, 4/Carton;55,07;OBE-10;1;9
OFF-SU-10002189;Wsparcie biura;Wsparcie;Acme Rosewood Handle Letter Opener;2,42;COL-25;25;200
OFF-AR-10001940;Wsparcie biura;Artykuły;Sanford Colorific Eraseable Coloring Pencils, 12 Count;4,69;HAR-21;5;50
OFF-ST-10003455;Wsparcie biura;Składowanie;Tenex File Box, Personal Filing Tote with Lid, Black;13,34;HAR-21;9;27
TEC-AC-10004659;Technologiczne;Akcesoria;Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive16gb;69,34;REN-17;12;96
TEC-PH-10003273;Technologiczne;Telefony;AT&T TR1909W;158,75;AKO-14;2;10
TEC-PH-10004896;Technologiczne;Telefony;Nokia Lumia 521 (T-Mobile);38,39;AKO-14;3;12
TEC-AC-10002345;Technologiczne;Akcesoria;HP Standard 104 key PS/2 Keyboard;18,13;NAN-19;13;117
OFF-BI-10001890;Wsparcie biura;Segregatory;Avery Poly Binder Pockets;5,3;SCR-27;25;150
TEC-AC-10002323;Technologiczne;Akcesoria;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;24,97;MIC-18;14;70
OFF-ST-10001328;Wsparcie biura;Składowanie;Personal Filing Tote with Lid, Black/Gray;13,65;PLA-26;1;4
FUR-BO-10002613;Meble;Regały;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;252,88;ANG-05;1;9
TEC-PH-10001552;Technologiczne;Telefony;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;15,31;AKO-14;2;4
OFF-PA-10000061;Wsparcie biura;Papier;Xerox 205;9,59;PLA-26;2;4
OFF-AR-10003514;Wsparcie biura;Artykuły;4009 Highlighters by Sanford;5,29;MED-24;16;112
OFF-AR-10004685;Wsparcie biura;Artykuły;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;4,31;SCR-27;5;25
OFF-AR-10004027;Wsparcie biura;Artykuły;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;2,55;PIE-22;23;184
OFF-ST-10001414;Wsparcie biura;Składowanie;Decoflex Hanging Personal Folder File;19,43;PEN-28;9;72
OFF-BI-10000343;Wsparcie biura;Segregatory;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";0,35;PEN-28;5;50
OFF-PA-10002749;Wsparcie biura;Papier;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;7,29;MED-24;1;4
OFF-PA-10002666;Wsparcie biura;Papier;Southworth 25% Cotton Linen-Finish Paper & Envelopes;9,51;COL-29;4;16
FUR-TA-10004289;Meble;Tabel;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;28,44;BES-08;1;9
OFF-AP-10003622;Wsparcie biura;Urządzenia;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;2,89;PLA-26;7;56
OFF-AP-10003217;Wsparcie biura;Urządzenia;Eureka Sanitaire  Commercial Upright;-56,35;HAR-21;4;16
FUR-FU-10002960;Meble;Meble;Eldon 200 Class Desk Accessories, Burgundy;6,41;ANG-05;1;6
TEC-PH-10001918;Technologiczne;Telefony;Nortel Business Series Terminal T7208 Digital phone;122,31;X-H-15;1;5
OFF-ST-10000642;Wsparcie biura;Składowanie;Tennsco Lockers, Gray;22,45;PIE-22;4;12
TEC-PH-10001700;Technologiczne;Telefony;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;83,81;PMM-13;2;10
OFF-FA-10000134;Wsparcie biura;Łączniki;Advantus Push Pins, Aluminum Head;7,61;HAR-21;9;90
OFF-ST-10001522;Wsparcie biura;Składowanie;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;95,67;MED-24;6;30
TEC-AC-10001266;Technologiczne;Akcesoria;Memorex Micro Travel Drive 8 GB;13,65;PMM-13;5;35
OFF-LA-10004544;Wsparcie biura;Etykiety;Avery 505;16,28;LEC-23;5;40
FUR-BO-10004695;Meble;Regały;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;41,63;BES-08;1;10
TEC-MA-10000864;Technologiczne;Maszyny;Cisco 9971 IP Video Phone Charcoal;26,4;DOD-20;3;15
TEC-AC-10000109;Technologiczne;Akcesoria;Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;47,03;X-H-15;8;64
TEC-PH-10002563;Technologiczne;Telefony;Adtran 1202752G1;108,35;NAN-19;1;4
OFF-FA-10000585;Wsparcie biura;Łączniki;OIC Bulk Pack Metal Binder Clips;3,7;HAR-21;22;198
OFF-PA-10004000;Wsparcie biura;Papier;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;5,16;HAR-21;1;2
FUR-FU-10000087;Meble;Meble;"Executive Impressions 14"" Two-Color Numerals Wall Clock";22,95;AMP-04;1;9
TEC-MA-10001148;Technologiczne;Maszyny;Swingline SM12-08 MicroCut Jam Free Shredder;24;NAN-19;2;4
OFF-AR-10001958;Wsparcie biura;Artykuły;Stanley Bostitch Contemporary Electric Pencil Sharpeners;14,95;COL-25;16;80
OFF-AR-10001026;Wsparcie biura;Artykuły;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;3,17;LEC-23;16;96
FUR-TA-10003748;Meble;Tabel;Bevis 36 x 72 Conference Tables;151,88;STI-01;1;5
OFF-ST-10002485;Wsparcie biura;Składowanie;Rogers Deluxe File Chest;22,2;TYP-30;8;40
FUR-CH-10004860;Meble;Krzesła;Global Low Back Tilter Chair;66,65;AMP-04;1;8
FUR-CH-10004477;Meble;Krzesła;Global Push Button Manager's Chair, Indigo;54,19;AVF-02;1;5
OFF-BI-10001679;Wsparcie biura;Segregatory;GBC Instant Index System for Binding Systems;0,89;TYP-30;11;110
FUR-TA-10001705;Meble;Tabel;Bush Advantage Collection Round Conference Table;65,91;EXW-09;1;10
FUR-TA-10003473;Meble;Tabel;Bretford Rectangular Conference Table Tops;124,12;ANG-05;1;2
FUR-FU-10004017;Meble;Meble;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";86,02;EXW-09;1;2
TEC-AC-10003832;Technologiczne;Akcesoria;Logitech P710e Mobile Speakerphone;203,42;AKO-14;8;40
OFF-PA-10002479;Wsparcie biura;Papier;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);7,66;COL-29;2;4
OFF-PA-10003349;Wsparcie biura;Papier;Xerox 1957;7,06;TYP-30;1;3
FUR-FU-10000576;Meble;Meble;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;12,59;CRO-07;1;5
FUR-FU-10004351;Meble;Meble;Staple-based wall hangings;2,34;EXW-09;1;8
TEC-PH-10000011;Technologiczne;Telefony;PureGear Roll-On Screen Protector;21,59;PMM-13;1;2
FUR-TA-10002607;Meble;Tabel;KI Conference Tables;11,34;STI-01;1;10
FUR-FU-10002505;Meble;Meble;Eldon 100 Class Desk Accessories;0,4;AVF-02;1;6
OFF-ST-10002276;Wsparcie biura;Składowanie;Safco Steel Mobile File Cart;104,2;COL-29;9;27
OFF-PA-10004082;Wsparcie biura;Papier;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;11,97;COL-25;2;8
OFF-AP-10002945;Wsparcie biura;Urządzenia;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;399,86;SCR-27;7;56
FUR-CH-10002965;Meble;Krzesła;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;174,86;BES-08;1;3
OFF-PA-10004569;Wsparcie biura;Papier;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";11,19;COL-29;2;4
